Rep,Assigned,To_Work,Needs_New_Number,Closed,Out_Of_Buy_Box,Skipped,Contacted,Outbound_Calls,Answered,VM_Left,No_Answer_No_VM,Texts_Sent,Emails_Sent,Responded,Response_Rate,Leads_Phoned,Answered_Or_Called_Back,Call_Response_Rate,Replied_By_Text,Text_Response_Rate,Replied_By_Email,Email_Response_Rate,Last_Activity
Barbie,550,197,21,23,3,29,353,531,47,209,243,240,149,13,2.4%,314,52,16.6%,5,2.1%,1,0.7%,2026-09-25T17:35:46.452Z
Era,550,200,13,10,0,47,350,573,33,255,251,281,146,6,1.1%,305,34,11.1%,4,1.4%,0,0.0%,2026-09-22T16:35:17.053Z
All reps,1100,397,34,33,3,76,703,1104,80,464,494,521,295,19,1.7%,619,86,13.9%,9,1.7%,1,0.3%,2026-09-25T17:35:46.452Z
